,comment,author,author_url,published_at
36,smilingfacewithsmilingeyes,@user-om4yv4zt2e,http://www.youtube.com/channel/UCk2NgNdKXTBVoKyAsQbS7ZA,2023-12-08T13:28:28Z
37,condolence bereaved families may souls rest peace,@mariadoloresguimpatan220,http://www.youtube.com/channel/UCIh5fOdcMW-ZJYLRJCH-paQ,2023-12-08T12:47:22Z
39,god idf isreal people faith god part amen,@kuvehusoho3385,http://www.youtube.com/channel/UCA4IkI16nD-qbW3C_uFka4g,2023-12-08T11:17:44Z
41,natenyahu doesnt care safety soldiers yesterday palestinian resistance tried capture idf soldiers order exchange future idf bombed place one god glorifies humans kill human like killing humans natenyahu shall accountable may god punish group amen,@mE-nv5vl,http://www.youtube.com/channel/UCh_NNAPkd46enc_dhJ2JtJw,2023-12-08T10:17:00Z
43,god bless protect israel israel,@brianianrapa9996,http://www.youtube.com/channel/UC67AfiOnPB3j2gAicDsBJzA,2023-12-08T09:52:19Z
44,stand pray israel peace forever foldedhandscandledovewhiteheartpeacesymbolstarofdavidmenorahorthodoxcrosslatincrossinfinity,@snow-n-gel,http://www.youtube.com/channel/UCyzU5Q7tKse7vLhACHBotbg,2023-12-08T09:40:31Z
45,hope prisoners reeducated civility educated believe done normal behaviour drugs unrwa education,@barriesmith3489,http://www.youtube.com/channel/UCdeiBiE1M4HRN1V595V2vIg,2023-12-08T09:35:22Z
46,god love israel found messiah found moses law prophets write jesus nazareth messiah john son god john received believe name god gave right become sons god john believe son god eternal life john god sent son jesus israel bless turning away every one iniquities acts salvation one else none name heaven given among men must saved acts jesus said believe messiah die sins john salvation one else god bless israel,@swimtome1126,http://www.youtube.com/channel/UCKMJJZDTsdz_AAqNdzjJaPw,2023-12-08T09:26:06Z
47,many thousand idf soldiers died far hospitals still beds gazans selling damaged markawa tanks cheap,@MOHAMMEDASSADIHUSAIN,http://www.youtube.com/channel/UCXNxSlTncJJpnVE85brZZdw,2023-12-08T09:08:13Z
49,may israel answer calls prayer believe deliver evil also pray holy spirit supernaturally convict atheist secular jews liberate truth humanitarian peace pleas based worldly ideals spiritual truth foldedhandsmediumdarkskintonetwohearts,@ruthbentley2090,http://www.youtube.com/channel/UCspF4jbFlT1X_Y-wBjrZR2g,2023-12-08T08:40:31Z
50,good reporting truth,@user-vd7uo6dm2n,http://www.youtube.com/channel/UCc-X3GBkMSqhNRBeUZJuwlw,2023-12-08T08:32:21Z
51,nrtanyahu saddened gals deathbut danced massacre palestinian babies children rain thousand tons bombs,@AbdulKarim-en4ud,http://www.youtube.com/channel/UCc-Zt9sAOBfuMZxeQdmpwQA,2023-12-08T08:31:08Z
52,dont even know make news true,@HanZyK008,http://www.youtube.com/channel/UCjlbykJQs9-75vQx6Qm8NDg,2023-12-08T08:12:04Z
